#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
 215  0.910784  3.6945  2.6416  1.4873  1.0241  1.6149  1.0636  0.8278  0.7317  0.6787  1.1162
 216  0.910908  3.6932  2.6064  1.5171  0.9514  1.5489  0.9922  0.7536  0.6561  0.6019  1.0447
 217  0.910927  3.6930  2.6010  1.5216  0.9403  1.5388  0.9813  0.7423  0.6445  0.5902  1.0338
 218  0.910945  3.6927  2.5955  1.5263  0.9290  1.5287  0.9703  0.7308  0.6327  0.5783  1.0228
 219  0.910963  3.6925  2.5901  1.5308  0.9178  1.5185  0.9593  0.7194  0.6211  0.5664  1.0118
 220  0.910982  3.6923  2.5845  1.5355  0.9064  1.5083  0.9481  0.7077  0.6092  0.5544  1.0006
 221  0.911000  3.6921  2.5790  1.5402  0.8950  1.4980  0.9370  0.6961  0.5974  0.5424  0.9894
 222  0.911018  3.6919  2.5735  1.5448  0.8836  1.4877  0.9258  0.6845  0.5855  0.5303  0.9782
 223  0.911036  3.6916  2.5679  1.5495  0.8722  1.4774  0.9146  0.6728  0.5735  0.5182  0.9670
 224  0.911054  3.6914  2.5623  1.5543  0.8606  1.4670  0.9032  0.6610  0.5615  0.5060  0.9557
 225  0.911072  3.6912  2.5566  1.5590  0.8492  1.4567  0.8920  0.6493  0.5495  0.4939  0.9444
 226  0.911090  3.6910  2.5510  1.5637  0.8375  1.4462  0.8806  0.6375  0.5374  0.4816  0.9330
 227  0.911262  3.6886  2.4934  1.6120  0.7199  1.3408  0.7654  0.5174  0.4146  0.3570  0.8177
 228  0.911414  3.6861  2.4378  1.6579  0.6082  1.2421  0.6562  0.4030  0.2975  0.2380  0.7083
 229  0.911554  3.6837  2.3829  1.7030  0.4986  1.1458  0.5492  0.2907  0.1824  0.1211  0.6012
 230  0.911682  3.6813  2.3304  1.7460  0.3942  1.0546  0.4475  0.1838  0.0728  0.0097  0.4993
 231  0.911802  3.6791  2.2824  1.7854  0.2994  0.9715  0.3551  0.0867 -0.0270 -0.0917  0.4066
